player,games_played,cards_lost,games_won,games_fried,net_score,cards_lost_avg,games_won_pc,games_fried_pc,net_score_avg,regular
C,1000,3724,233,57,3293,3.72,23.3,5.7,3.29,True
T,477,2102,130,38,31,4.41,27.3,8.0,0.06,True
H,759,3365,193,63,106,4.43,25.4,8.3,0.14,True
S,621,2888,165,52,-220,4.65,26.6,8.4,-0.35,True
Jj,479,2428,121,50,-405,5.07,25.3,10.4,-0.85,True
Js,400,2060,91,45,-1302,5.15,22.8,11.2,-3.25,True
L,338,1816,88,41,-836,5.37,26.0,12.1,-2.47,True
CA,17,41,5,0,61,2.41,29.4,0.0,3.59,False
DC,6,15,2,0,17,2.5,33.3,0.0,2.83,False
LS,7,18,2,0,-8,2.57,28.6,0.0,-1.14,False
CD,3,9,0,0,-4,3.0,0.0,0.0,-1.33,False
JD,12,43,0,0,4,3.58,0.0,0.0,0.33,False
JG,71,277,20,5,145,3.9,28.2,7.0,2.04,False
JL,23,90,7,2,48,3.91,30.4,8.7,2.09,False
AW,20,90,4,2,-132,4.5,20.0,10.0,-6.6,False
JP,45,244,13,6,-76,5.42,28.9,13.3,-1.69,False
MW,118,650,27,15,-451,5.51,22.9,12.7,-3.82,False
RH,4,23,0,0,-45,5.75,0.0,0.0,-11.25,False
LL,9,60,2,1,-50,6.67,22.2,11.1,-5.56,False
A,7,99,1,3,-176,14.14,14.3,42.9,-25.14,False
*,4416,20042,1104,380,0,4.54,25.0,8.6,0.0,
